,Col_0,Col_1,Col_2,Col_3
M1_0,0.7925,-0.035599999999999965,0.0,0.0
M1_1,-0.035599999999999965,0.7925,0.0,0.0
M1_2,0.0,0.0,0.7439546478762037,0.27077734747093196
M1_3,0.0,0.0,-0.27077734747093196,0.7439546478762037
M2_0,0.7925,-0.035599999999999965,0.0,0.0
M2_1,-0.035599999999999965,0.7925,0.0,0.0
M2_2,0.0,0.0,0.7439546478762037,0.27077734747093196
M2_3,0.0,0.0,-0.27077734747093196,0.7439546478762037
Mtotal_0,0.6293236099999999,-0.05642599999999992,0.0,0.0
Mtotal_1,-0.05642599999999992,0.6293236099999999,0.0,0.0
Mtotal_2,0.0,0.0,0.4801481461932124,0.4028921323811792
Mtotal_3,0.0,0.0,-0.4028921323811792,0.4801481461932124
